vendor_id;article_no;SKU;name;product_type;additional_attributes;configurable_variations;categories;description_short;description_long;product_features;ean_or_gtin_code;manufacturer_no;brand;price;currency;vat_rate;qty;weight;length;width;height;base_image;additional_images
;302304;;Satsbräda Träfjädring;MATTOR;;;School;Satsbräda 200;Satsbräda som finns i två alternativ med olika höjd. Junior = grundskolan (max användarvikt: 60 kg). Senior = högstadiet - med dubbelfjädring (max användarvikt: 75 kg).;;;;;4,948.70;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/302304;
;302305;;Ramskydd ALL IN SPORT Elit;GYMNASTIK;;;School;Ramskydd ALL IN SPORT Elit;Rött ramskydd som passar våra trampetter Rantzows Elit (se art 302300 och 302300).;;;;;2,018.02;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/302305;
;302310;;Minitrampolin Standard Eurotramp;GYMNASTIK;;;TeamGym;Minitrampolin standard Eurotramp;Trampolin som lämpar sig bra för skola och rehabilitering. Hoppduk som täcker hela ytan vilket skapar en trygghetskänsla för den som hoppar. Ramen är galvaniserad och benen kan justeras i höjd och lutning. Komplett med heltäckande ramskydd. 112x112 cm(duk 60x60) cm. Total vikt 25 kg.;;;;;10,128.64;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/302310;
;302315;;Ramskydd ALL IN SPORT  Mellan & Pro;GYMNASTIK;;;School;Ramskydd ALL IN SPORT  Mellan & Pro;Blått ramskydd som passar våra trampetter Rantzows Mellan (se art 302310) och Rantzows Pro (se art 302396).;;;;;2,018.02;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/302315;
;302390;;Studsmatta Jogger;GYMNASTIK;;;Play & Games;Studsmatta Jogger ca 1 m Ø;Att hoppa studsmatta är inte bara roligt utan även bra för konditionen, koordinationen och balanssinnet. Duken är upphängd i stålfjädrar. 1020 mm diameter.;;;;;811.8;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/302390;
;302396;;Trampett RANTZOWS Pro;GYMNASTIK;;;School;Rantzows Trampett PRO;Särskilt utvecklad för tävling och träning på alla nivåer. Kraftig stålkonstruktion med 4 transporthjul. Rejäla fotplattor med golvskydd av gummi. Ställbar i många olika vinklar. Mjuka fjädrar med hoppteknik liknande trampolinhopp. Inkl ramskydd som även säljs separat (se art 302315).;;;;;12,326.24;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/302396;
;302401;;Höjdtillsats till hoppbord Practice;GYMNASTIK;;;TeamGym;Höjdtillsats hoppbord Practice;Höjdtillsats till hoppbord Practice (se art 301825). Höjd 200 mm.;;;;;4,054.90;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/302401;
;303000;;Matta AIREX Titania;MATTOR;;;Functional training;Airexmatta Titania Grön;För skola och gymnastik. Inom- och utomhus samt för vatten. 2000 x 1250 x 32 mm. Grön.;;;;;4,847.84;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/303000;
;303016;;Gymnastikmatta ALL IN SPORT Lek;MATTOR;;;School;Gymnastikmatta Lek;Laminerad cellpolyetenkärna, undersidan med friktionsyta. Storlek: 2000 x 1000 x 40 mm.;;;;;1,293.96;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/303016;
;303041;;Matta AIREX Hercules;MATTOR;;;Functional training;Airexmatta Hercules Blå;För massage, rehabilitering, fysioterapi och skolbruk. 2000 x 1000 x 25 mm. Blå.;;;;;2,093.46;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/303041;
;303044;;Matta AIREX Corona 1850;MATTOR;;;Functional training;Airexmatta Corona Röd;För fysioterapi, rehabilitering, vattengymnastik och vattenterapi. 1850x1000x15 mm. Kan fås med eller utan hål i röd eller blå.;;;;;1,304.62;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/303044;
;303046;;Matta AIREX Coronella 1850;MATTOR;;;Functional training;Airexmatta Coronella Röd;För massage, skola och gymnastik. 1850x600x15 mm. Kan fås med eller utan hål i röd eller blå.;;;;;858.54;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/303046;
;303048;;Matta AIREX Atlas;MATTOR;;;Functional training;Airexmatta Atlas Grön;För fysioterapi, skola, gymnastik och vattenterapi. 2000 x 1250 x 15 mm. Grön.;;;;;2,219.74;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/303048;
;303049;;Matta AIREX Coronella 1850;MATTOR;;;Functional training;Airexmatta Coronella Blå;För massage, skola och gymnastik. 1850x600x15 mm. Kan fås med eller utan hål i röd eller blå.;;;;;889.7;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/303049;
;303051;;Matta AIREX Fitness;MATTOR;;;Functional training;Airexmatta Fitness Blå;För gymnastik, yoga, aerobic. 1200 x 600 x 15 mm. Blå. Kan fås med eller utan hål.;;;;;542.84;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/303051;
;303052;;Matta AIREX Corona 1850;MATTOR;;;Functional training;Airexmatta Corona Blå;För fysioterapi, rehabilitering, vattengymnastik och vattenterapi. 1850x1000x15 mm. Kan fås med eller utan hål i röd eller blå.;;;;;1,304.62;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/303052;
;303053;;Matta AIREX Pilates;MATTOR;;;Functional training;Airexmatta Pilates Grå;För pilates, yoga och aerobic. Grå. 1900 x 600 x 8 mm. Kan fås med eller utan hål.;;;;;637.14;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/303053;
;303055;;Matta AIREX Fitline 1800;MATTOR;;;Functional training;Airexmatta Fitline Turkos;1800 x 600 x 10 mm. Kan fås med eller utan hål i 2 färger. Finns även i en kortare modell.;;;;;535.46;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/303055;
;303056;;Matta AIREX Fitline 1400;MATTOR;;;Functional training;Airexmatta Fitline Turkos;1400 x 600 x 10 mm. Kan fås med eller utan hål i 2 färger. Finns även i en längre modell.;;;;;435.42;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/303056;
;303067;;Balance Pad AIREX Elite;MATTOR;;;Functional training;Airex Balance Pad Elite;Perfekt vid balans- och koordinationsträning. Nu med skön räfflad yta för stimulans av blodcirkulationen vid träning. Airex rekommenderar att man lägger dynan ovanpå en lite större gympingmatta. Storlek 500x410x60 mm.;;;;;637.14;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/303067;
;303080;;Gymnastikmatta PURE 1800x600x15 mm;MATTOR;;;School;Gymnastikmatta 1800x600x15 mm;En mycket hållbar och väldämpande matta i generös storlek till ett bra pris. Passar alla träningsområden. Blå. 1820x580x15 mm. Säljs både per st och i 10-pack.;;;;;366.54;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/303080;
;303110;;Långmatta VGS Lättvikt;MATTOR;;;School;Långmatta VGS LÄTT 12 m;Kanalsydd lättviktsmatta. Väger mindre pga stoppning med material med slutna luftceller. Översida och undersida av plastväv. Inkl. rem för ihoprullning. Bredd: 1300 mm. Tjocklek: 32 mm. Finns i 4 olika längder. OBS! För tillfället levereras 6 m mattan i blått.;;;;;21,816.10;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/303110;
;303111;;Långmatta VGS Lättvikt;MATTOR;;;School;Långmatta VGS LÄTT 9 m;Kanalsydd lättviktsmatta. Väger mindre pga stoppning med material med slutna luftceller. Översida och undersida av plastväv. Inkl. rem för ihoprullning. Bredd: 1300 mm. Tjocklek: 32 mm. Finns i 4 olika längder. OBS! För tillfället levereras 6 m mattan i blått.;;;;;17,404.50;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/303111;
;303112;;Långmatta VGS Lättvikt;MATTOR;;;School;Långmatta VGS LÄTT 6 m;Kanalsydd lättviktsmatta. Väger mindre pga stoppning med material med slutna luftceller. Översida och undersida av plastväv. Inkl. rem för ihoprullning. Bredd: 1300 mm. Tjocklek: 32 mm. Finns i 4 olika längder. OBS! För tillfället levereras 6 m mattan i blått.;;;;;12,062.20;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/303112;
;303113;;Långmatta VGS Lättvikt;MATTOR;;;School;Långmatta VGS LÄTT 3 m;Kanalsydd lättviktsmatta. Väger mindre pga stoppning med material med slutna luftceller. Översida och undersida av plastväv. Inkl. rem för ihoprullning. Bredd: 1300 mm. Tjocklek: 32 mm. Finns i 4 olika längder. OBS! För tillfället levereras 6 m mattan i blått.;;;;;6,565.74;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/303113;
;303114;;Långmatta/mattvåd KERKO;MATTOR;;;TeamGym;Långmatta/mattvåd Unisport;Tar lite utrymme, ovansidan med blå filt, undersida med friktionsyta. Mattorna kan sattas ihop med hjälp av kardborreband. Säljs per kvadratmeter. Finns i 2 olika bredder. Minimum fem meter.;;;;;906.1;SEK;25%;M2;;;;;https://webshop.unisport.com/se_sv/image/303114;
;303115;;Långmatta/mattvåd KERKO;MATTOR;;;TeamGym;Långmatta/mattvåd Unisport;Tar lite utrymme, ovansidan med blå filt, undersida med friktionsyta. Mattorna kan sattas ihop med hjälp av kardborreband. Säljs per kvadratmeter. Finns i 2 olika bredder. Minimum fem meter.;;;;;858.54;SEK;25%;M2;;;;;https://webshop.unisport.com/se_sv/image/303115;
;303120;;Rullmatta 18 mm;MATTOR;;;School;Rullmatta;Rullmatta med yta av elastiskt dubbeltyg samt undersida med friktionsyta. Speciellt lämplig för gymnastik. Bredd: 1200 mm. Tjocklek: 18 mm. Finns i längderna 6 och 10 meter.;;;;;6,767.46;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/303120;
;303121;;Rullmatta 18 mm;MATTOR;;;School;Rullmatta;Rullmatta med yta av elastiskt dubbeltyg samt undersida med friktionsyta. Speciellt lämplig för gymnastik. Bredd: 1200 mm. Tjocklek: 18 mm. Finns i längderna 6 och 10 meter.;;;;;9,549.72;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/303121;
;303122;;Rullmatta 25 mm;MATTOR;;;School;Rullmatta;Rullmatta med yta av elastiskt dubbeltyg, undersida med friktionsyta. Speciellt lämplig för gymnastik. Bredd: 1200 mm. Tjocklek: 25 mm. Finns i längderna 6 och 10 meter.;;;;;8,621.48;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/303122;
;303123;;Rullmatta 25 mm;MATTOR;;;School;Rullmatta;Rullmatta med yta av elastiskt dubbeltyg, undersida med friktionsyta. Speciellt lämplig för gymnastik. Bredd: 1200 mm. Tjocklek: 25 mm. Finns i längderna 6 och 10 meter.;;;;;12,916.64;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/303123;
;303124;;Ansatsmatta;MATTOR;;;TeamGym;Ansatsmatta cellplast + nålfilt, matta om 14 m2;Ansatsmatta med yta av polypropylenfilt. Längd 14 meter. Bredd 1 meter. Tjocklek: 35 mm. Säljes per kvadratmeter.&nbsp;;;;;;758.5;SEK;25%;M2;;;;;https://webshop.unisport.com/se_sv/image/303124;
;303130;;Landningsmatta;MATTOR;;;TeamGym;Landningsmatta;För tävlingsgymnastik och krävande träningsbruk. Kärnan av specialmjukt skumgummi, fastare kanter. Överdelen av fast skumgummi. Löstagbart överdrag av vinyltyg med dragkedja. Fyra stadiga bärhantag. Kardborreband för ihopsättning av flera mattor. Finns i 4 storlekar.;;;;;4,746.98;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/303130;
;303131;;Landningsmatta;MATTOR;;;TeamGym;Landningsmatta;För tävlingsgymnastik och krävande träningsbruk. Kärnan av specialmjukt skumgummi, fastare kanter. Överdelen av fast skumgummi. Löstagbart överdrag av vinyltyg med dragkedja. Fyra stadiga bärhantag. Kardborreband för ihopsättning av flera mattor. Finns i 4 storlekar.;;;;;10,608.34;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/303131;
;303132;;Landningsmatta;MATTOR;;;TeamGym;Landningsmatta;För tävlingsgymnastik och krävande träningsbruk. Kärnan av specialmjukt skumgummi, fastare kanter. Överdelen av fast skumgummi. Löstagbart överdrag av vinyltyg med dragkedja. Fyra stadiga bärhantag. Kardborreband för ihopsättning av flera mattor. Finns i 4 storlekar.;;;;;8,688.72;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/303132;
;303133;;Landningsmatta;MATTOR;;;TeamGym;Landningsmatta;För tävlingsgymnastik och krävande träningsbruk. Kärnan av specialmjukt skumgummi, fastare kanter. Överdelen av fast skumgummi. Löstagbart överdrag av vinyltyg med dragkedja. Fyra stadiga bärhantag. Kardborreband för ihopsättning av flera mattor. Finns i 4 storlekar.;;;;;12,427.10;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/303133;
;303240;;Gymnastikmatta ALL IN SPORT Riko Kombi;MATTOR;;;School;Kombimatta Riko Blå;Halvfast allroundmatta för skolgymnastik och hobbybruk med kardborrband på varje sida. Laminerad celliknande polyetenstoppning. 1880 x 1000 x 60 mm. Vikt 8 kg. Finns i färgerna blå och röd.;;;;;2,907.72;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/303240;
